Official Symbol Interactor A,Official Symbol Interactor B,Ontology Term Names
PAFAH1B1,PAFAH1B1,"Growth abnormality,K-562 cell"
PAFAH1B1,PPP2R1A,"Growth abnormality,K-562 cell"
PAFAH1B1,PSMD12,"Growth abnormality,K-562 cell"
PAFAH1B1,RPL28,"Growth abnormality,K-562 cell"
PAFAH1B1,RPL36A,"Growth abnormality,K-562 cell"
PAFAH1B1,SDHC,"Growth abnormality,K-562 cell"
PAFAH1B1,SGOL1,"Growth abnormality,K-562 cell"
PAFAH1B1,SKA3,"Growth abnormality,K-562 cell"
PAFAH1B1,SNRPG,"Growth abnormality,K-562 cell"
PAFAH1B1,TCOF1,"Growth abnormality,K-562 cell"
PAFAH1B1,UBA2,"Growth abnormality,K-562 cell"
PAFAH1B1,VPS72,"Growth abnormality,K-562 cell"
PAFAH1B1,ZNF574,"Growth abnormality,K-562 cell"
PDSS2,SNRPG,"Growth abnormality,K-562 cell"
PDSS2,TIMELESS,"Growth abnormality,K-562 cell"
GATB,PMPCB,"Growth abnormality,K-562 cell"
GATB,PSMC1,"Growth abnormality,K-562 cell"
GATB,PSMC6,"Growth abnormality,K-562 cell"
GATB,PSMD12,"Growth abnormality,K-562 cell"
GATB,PTCD1,"Growth abnormality,K-562 cell"
GATB,RBFA,"Growth abnormality,K-562 cell"
GATB,SNRPG,"Growth abnormality,K-562 cell"
GATB,TFB1M,"Growth abnormality,K-562 cell"
PFAS,PFAS,"Growth abnormality,JURKAT cell,K-562 cell"
PGD,PGK1,"Growth abnormality,K-562 cell"
PGD,SDHC,"Growth abnormality,K-562 cell"
PGK1,SSBP1,"Growth abnormality,K-562 cell"
PGK1,TMEM261,"Growth abnormality,K-562 cell"
PGK1,WDR61,"Growth abnormality,JURKAT cell"
PHF5A,RPL35,"Growth abnormality,K-562 cell"
PHF5A,SKA3,"Growth abnormality,K-562 cell"
PHF5A,SPATA5,"Growth abnormality,K-562 cell"
PMF1,PMF1,"Growth abnormality,K-562 cell"
PMF1,SNAPC1,"Growth abnormality,JURKAT cell"
PMF1,TAF2,"Growth abnormality,K-562 cell"
PMF1,WDR61,"Growth abnormality,JURKAT cell"
PMF1,ZWINT,"Growth abnormality,K-562 cell"
PMVK,PMVK,"Growth abnormality,K-562 cell"
POLA1,RPL36A,"Growth abnormality,K-562 cell"
POLA1,UBA2,"Growth abnormality,K-562 cell"
POLD1,POLD1,"Growth abnormality,JURKAT cell"
POLD1,TAF2,"Growth abnormality,JURKAT cell"
POLD3,POLD3,"Growth abnormality,K-562 cell"
POLD3,STXBP4,"Growth abnormality,JURKAT cell"
POLD3,TAF2,"Growth abnormality,JURKAT cell"
POLD3,TIMELESS,"Growth abnormality,K-562 cell"
POLE,POLE,"Growth abnormality,K-562 cell"
POLE,RPL36A,"Growth abnormality,K-562 cell"
POLE,TIMELESS,"Growth abnormality,K-562 cell"
POLN,POLN,"Growth abnormality,JURKAT cell,K-562 cell"
POLN,PPP2R1A,"Growth abnormality,K-562 cell"
POLN,SNAPC1,"Growth abnormality,JURKAT cell"
POLN,WDR61,"Growth abnormality,JURKAT cell"
POLR2B,POLR2B,"Growth abnormality,JURKAT cell"
POLR2B,RPL35,"Growth abnormality,K-562 cell"
POLR2B,TCOF1,"Growth abnormality,K-562 cell"
POLR2B,XPO1,"Growth abnormality,K-562 cell"
POLR2K,POLR2K,"Growth abnormality,K-562 cell"
POLR3A,POLR3A,"Growth abnormality,K-562 cell"
POLR3A,PPP2R1A,"Growth abnormality,K-562 cell"
POLR3A,SNAPC1,"Growth abnormality,K-562 cell"
POLR3A,YTHDC1,"Growth abnormality,K-562 cell"
POLR3B,POLR3B,"Growth abnormality,JURKAT cell,K-562 cell"
POLR3B,PPCS,"Growth abnormality,K-562 cell"
PPAT,PPAT,"Growth abnormality,JURKAT cell,K-562 cell"
PPAT,UBA2,"Growth abnormality,JURKAT cell"
PPCS,PPCS,"Growth abnormality,JURKAT cell,K-562 cell"
PPCS,PRMT5,"Growth abnormality,K-562 cell"
PPCS,PSMB6,"Growth abnormality,K-562 cell"
PPCS,PSMD12,"Growth abnormality,K-562 cell"
PPCS,PSMD6,"Growth abnormality,K-562 cell"
PPCS,RPL10,"Growth abnormality,K-562 cell"
PPCS,RPL35,"Growth abnormality,K-562 cell"
PPCS,RPL36A,"Growth abnormality,K-562 cell"
PPCS,SNAPC1,"Growth abnormality,JURKAT cell"
PPCS,TCOF1,"Growth abnormality,K-562 cell"
PPCS,UBA2,"Growth abnormality,K-562 cell"
PPCS,USE1,"Growth abnormality,K-562 cell"
PPIE,PPIE,"Growth abnormality,K-562 cell"
PPIE,PSMD1,"Growth abnormality,K-562 cell"
PPIE,WDR70,"Growth abnormality,K-562 cell"
PPIE,ZNF830,"Growth abnormality,K-562 cell"
PPP2R1A,PSMD6,"Growth abnormality,K-562 cell"
PPP2R1A,PTTG1,"Growth abnormality,K-562 cell"
PPP2R1A,RAD51,"Growth abnormality,K-562 cell"
PPP2R1A,RTF1,"Growth abnormality,K-562 cell"
PPP2R1A,SEC22B,"Growth abnormality,K-562 cell"
PPP2R1A,SGOL1,"Growth abnormality,K-562 cell"
PPP2R1A,SKA3,"Growth abnormality,K-562 cell"
PPP2R1A,SNIP1,"Growth abnormality,K-562 cell"
PPP2R1A,SNRPB,"Growth abnormality,K-562 cell"
PPP2R1A,SNRPG,"Growth abnormality,K-562 cell"
PPP2R1A,TAF1,"Growth abnormality,K-562 cell"
PPP2R1A,TAF2,"Growth abnormality,K-562 cell"
PPP2R1A,TIMELESS,"Growth abnormality,K-562 cell"
PPP2R1A,UBA3,"Growth abnormality,K-562 cell"
PPP2R1A,USE1,"Growth abnormality,K-562 cell"
PPP2R1A,WDR7,"Growth abnormality,K-562 cell"
PPP2R1A,YTHDC1,"Growth abnormality,K-562 cell"
PPP2R1A,ZNF511,"Growth abnormality,K-562 cell"
PPP2R2A,PSMD12,"Growth abnormality,K-562 cell"
PPP2R2A,RBM17,"Growth abnormality,JURKAT cell"
PPP2R2A,SNAPC1,"Growth abnormality,JURKAT cell"
PPP2R2A,ZNF574,"Growth abnormality,K-562 cell"
PPWD1,PSMD1,"Growth abnormality,K-562 cell"
PPWD1,SRSF7,"Growth abnormality,K-562 cell"
PRIM2,PRIM2,"Growth abnormality,K-562 cell"
PRIM2,RPL35,"Growth abnormality,K-562 cell"
PRIM2,SNAPC1,"Growth abnormality,JURKAT cell"
PRIM2,TRA2B,"Growth abnormality,K-562 cell"
PRIM2,UBA2,"Growth abnormality,JURKAT cell,K-562 cell"
PRIM2,XRN2,"Growth abnormality,K-562 cell"
PRIM2,ZNHIT6,"Growth abnormality,JURKAT cell"
PRMT5,RPL23,"Growth abnormality,K-562 cell"
PRMT5,UBA2,"Growth abnormality,JURKAT cell"
PRMT5,ZNHIT6,"Growth abnormality,JURKAT cell"
PSMC2,RPL35,"Growth abnormality,K-562 cell"
PSMC2,RPLP2,"Growth abnormality,JURKAT cell"
PSMC2,TAF2,"Growth abnormality,K-562 cell"
PSMC2,ZNF598,"Growth abnormality,K-562 cell"
PSPH,PSPH,"Growth abnormality,K-562 cell"
PSPH,SNAPC1,"Growth abnormality,JURKAT cell"
PSPH,UBA2,"Growth abnormality,K-562 cell"
PSPH,VPS72,"Growth abnormality,K-562 cell"
PSPH,WDR61,"Growth abnormality,JURKAT cell"
PSPH,ZMAT5,"Growth abnormality,K-562 cell"
PWP1,RPL23,"Growth abnormality,K-562 cell"
PWP1,RPL28,"Growth abnormality,K-562 cell"
PWP1,TCOF1,"Growth abnormality,K-562 cell"
QARS,SRSF7,"Growth abnormality,K-562 cell"
QARS,UBA2,"Growth abnormality,K-562 cell"
QARS,WDR61,"Growth abnormality,K-562 cell"
RAD51,TRA2B,"Growth abnormality,K-562 cell"
RAE1,RAE1,"Growth abnormality,K-562 cell"
RBBP8,RPL32,"Growth abnormality,K-562 cell"
RBBP8,TIMELESS,"Growth abnormality,K-562 cell"
RBBP8,TIPIN,"Growth abnormality,K-562 cell"
RBBP8,TRRAP,"Growth abnormality,JURKAT cell"
RBBP8,UBA2,"Growth abnormality,JURKAT cell"
RBBP8,ZNF598,"Growth abnormality,JURKAT cell"
RBM17,RBM17,"Growth abnormality,K-562 cell"
RBM17,SNAPC1,"Growth abnormality,JURKAT cell"
RBM17,TIMELESS,"Growth abnormality,K-562 cell"
RBM17,UBA2,"Growth abnormality,JURKAT cell"
RBM17,WDR61,"Growth abnormality,JURKAT cell"
RBM17,XRN2,"Growth abnormality,K-562 cell"
RBM25,RBM25,"Growth abnormality,JURKAT cell"
RBM25,VPS72,"Growth abnormality,K-562 cell"
RBM25,WDR61,"Growth abnormality,K-562 cell"
RBM25,ZNF574,"Growth abnormality,K-562 cell"
REXO2,TIMELESS,"Growth abnormality,K-562 cell"
REXO2,UBA2,"Growth abnormality,K-562 cell"
REXO2,XRN2,"Growth abnormality,K-562 cell"
RFC4,RFC4,"Growth abnormality,K-562 cell"
RFC4,UBA2,"Growth abnormality,K-562 cell"
RFC5,RPL35,"Growth abnormality,K-562 cell"
RINT1,SEC22B,"Growth abnormality,K-562 cell"
RINT1,SNAPC1,"Growth abnormality,JURKAT cell,K-562 cell"
RINT1,TAF2,"Growth abnormality,JURKAT cell"
RINT1,VPS4A,"Growth abnormality,K-562 cell"
RINT1,WDR61,"Growth abnormality,K-562 cell"
RNF20,RNF20,"Growth abnormality,K-562 cell"
RNGTT,RNGTT,"Growth abnormality,JURKAT cell,K-562 cell"
RNGTT,TAF2,"Growth abnormality,K-562 cell"
RNGTT,TCOF1,"Growth abnormality,K-562 cell"
RNGTT,UBA2,"Growth abnormality,K-562 cell"
RNGTT,ZNF574,"Growth abnormality,K-562 cell"
ROMO1,ROMO1,"Growth abnormality,JURKAT cell"
ROMO1,RPL23,"Growth abnormality,JURKAT cell"
ROMO1,SKA3,"Growth abnormality,K-562 cell"
ROMO1,SSBP1,"Growth abnormality,K-562 cell"
ROMO1,TAZ,"Growth abnormality,K-562 cell"
RPA3,RPL36A,"Growth abnormality,K-562 cell"
RPA3,SNAPC1,"Growth abnormality,JURKAT cell"
RPA3,TAF2,"Growth abnormality,JURKAT cell"
RPA3,TCOF1,"Growth abnormality,K-562 cell"
RPA3,TIPIN,"Growth abnormality,K-562 cell"
RPA3,TRA2B,"Growth abnormality,JURKAT cell"
RPA3,UBA2,"Growth abnormality,JURKAT cell"
RPF2,RPF2,"Growth abnormality,JURKAT cell,K-562 cell"
RPF2,RPL28,"Growth abnormality,K-562 cell"
RPL10,RPL10,"Growth abnormality,K-562 cell"
RPL10,RPL35,"Growth abnormality,K-562 cell"
RPL10,RRM1,"Growth abnormality,JURKAT cell"
RPL10,SDHC,"Growth abnormality,JURKAT cell"
RPL10,SNAPC1,"Growth abnormality,JURKAT cell"
RPL10,ZNF574,"Growth abnormality,K-562 cell"
RPL11,SNAPC1,"Growth abnormality,JURKAT cell"
RPL11,UBA2,"Growth abnormality,JURKAT cell,K-562 cell"
RPL11,ZNHIT6,"Growth abnormality,JURKAT cell"
RPL13,RPL13,"Growth abnormality,K-562 cell"
RPL13,RPL23,"Growth abnormality,K-562 cell"
RPL13,RPS18,"Growth abnormality,K-562 cell"
RPL23,RPL23,"Growth abnormality,K-562 cell"
RPL23,RPL35,"Growth abnormality,K-562 cell"
RPL24,RPL24,"Growth abnormality,K-562 cell"
RPL24,SNAPC1,"Growth abnormality,JURKAT cell"
RPL24,WDR61,"Growth abnormality,JURKAT cell,K-562 cell"
RPL27,RPL27,"Growth abnormality,K-562 cell"
RPL27,TCOF1,"Growth abnormality,K-562 cell"
RPL30,SNAPC1,"Growth abnormality,JURKAT cell"
RPL30,TUBB,"Growth abnormality,K-562 cell"
RPL30,WDR7,"Growth abnormality,K-562 cell"
RPL32,RPL35,"Growth abnormality,K-562 cell"
RPL32,SNAPC1,"Growth abnormality,JURKAT cell"
RPL5,SNAPC1,"Growth abnormality,JURKAT cell"
RPL5,TAF2,"Growth abnormality,K-562 cell"
RPL8,UBA2,"Growth abnormality,K-562 cell"
RPP38,RPP38,"Growth abnormality,JURKAT cell,K-562 cell"
RPP38,SNAPC1,"Growth abnormality,JURKAT cell"
RPP38,SSB,"Growth abnormality,K-562 cell"
RPS28,RPS28,"Growth abnormality,JURKAT cell,K-562 cell"
RPTOR,XRN2,"Growth abnormality,K-562 cell"
RRM1,RRM1,"Growth abnormality,K-562 cell"
RTF1,RTF1,"Growth abnormality,JURKAT cell,K-562 cell"
RTF1,SEC22B,"Growth abnormality,K-562 cell"
RTF1,SNIP1,"Growth abnormality,K-562 cell"
RTF1,UBA2,"Growth abnormality,K-562 cell"
RTF1,USE1,"Growth abnormality,K-562 cell"
RTF1,VPS4A,"Growth abnormality,K-562 cell"
SAP18,SAP18,"Growth abnormality,JURKAT cell"
SAP18,SKA3,"Growth abnormality,K-562 cell"
SAP18,SLC35A1,"Growth abnormality,K-562 cell"
SAP18,TUBGCP3,"Growth abnormality,K-562 cell"
SAP18,YTHDC1,"Growth abnormality,K-562 cell"
SCYL1,SEC22B,"Growth abnormality,K-562 cell"
SCYL1,SF3B1,"Growth abnormality,K-562 cell"
SCYL1,SLC35A1,"Growth abnormality,K-562 cell"
SCYL1,SRSF7,"Growth abnormality,K-562 cell"
SCYL1,SYVN1,"Growth abnormality,K-562 cell"
SCYL1,TRPM7,"Growth abnormality,K-562 cell"
SCYL1,USE1,"Growth abnormality,K-562 cell"
SCYL1,VPS4A,"Growth abnormality,K-562 cell"
SCYL1,WDR7,"Growth abnormality,K-562 cell"
SDHC,SDHC,"Growth abnormality,K-562 cell"
SDHC,SNAPC1,"Growth abnormality,JURKAT cell"
SDHC,TMEM261,"Growth abnormality,K-562 cell"
SDHC,UBA2,"Growth abnormality,JURKAT cell"
SDHC,ZNF598,"Growth abnormality,JURKAT cell"
SEC22B,TAF2,"Growth abnormality,K-562 cell"
SEC22B,VPS4A,"Growth abnormality,K-562 cell"
SEC22B,WDR61,"Growth abnormality,K-562 cell"
SEC22B,WDR7,"Growth abnormality,K-562 cell"
SEH1L,SEH1L,"Growth abnormality,JURKAT cell,K-562 cell"
SEH1L,UBA2,"Growth abnormality,JURKAT cell,K-562 cell"
SEH1L,VPS29,"Growth abnormality,K-562 cell"
SF3B1,SF3B1,"Growth abnormality,JURKAT cell"
SFXN1,XPO1,"Growth abnormality,K-562 cell"
SGOL1,SKA3,"Growth abnormality,K-562 cell"
SGOL1,SNRPG,"Growth abnormality,K-562 cell"
SGOL1,SRFBP1,"Growth abnormality,K-562 cell"
SGOL1,TBC1D31,"Growth abnormality,K-562 cell"
SGOL1,TIMELESS,"Growth abnormality,K-562 cell"
SGOL1,ZMAT5,"Growth abnormality,K-562 cell"
SGOL1,ZNF574,"Growth abnormality,K-562 cell"
SKA3,SPDL1,"Growth abnormality,JURKAT cell"
SKA3,SRFBP1,"Growth abnormality,K-562 cell"
SKA3,SRSF7,"Growth abnormality,K-562 cell"
SKA3,TAZ,"Growth abnormality,K-562 cell"
SKA3,TIMELESS,"Growth abnormality,K-562 cell"
SKA3,TRA2B,"Growth abnormality,JURKAT cell,K-562 cell"
SKA3,TRNAU1AP,"Growth abnormality,JURKAT cell"
SKA3,TUBB,"Growth abnormality,K-562 cell"
SKA3,ZNF574,"Growth abnormality,K-562 cell"
SKA3,ZWINT,"Growth abnormality,K-562 cell"
SKIV2L2,SKIV2L2,"Growth abnormality,JURKAT cell,K-562 cell"
SKIV2L2,XRN2,"Growth abnormality,K-562 cell"
SMC5,SMC5,"Growth abnormality,JURKAT cell"
SMC5,UBA2,"Growth abnormality,JURKAT cell"
SNIP1,ZNF574,"Growth abnormality,K-562 cell"
SNRNP200,WDR61,"Growth abnormality,JURKAT cell"
SNRNP70,SNRNP70,"Growth abnormality,JURKAT cell,K-562 cell"
SNRPB,SNRPD3,"Growth abnormality,K-562 cell"
SNRPB,TUBB,"Growth abnormality,K-562 cell"
SNRPB,UBA2,"Growth abnormality,K-562 cell"
SNRPC,SNRPC,"Growth abnormality,JURKAT cell,K-562 cell"
SNRPC,UBA2,"Growth abnormality,K-562 cell"
SNRPD3,TTI2,"Growth abnormality,K-562 cell"
SNRPD3,UBA2,"Growth abnormality,K-562 cell"
SNRPD3,XPO1,"Growth abnormality,JURKAT cell"
SNRPD3,XRN2,"Growth abnormality,K-562 cell"
SNRPD3,YTHDC1,"Growth abnormality,K-562 cell"
SNRPG,ZNHIT6,"Growth abnormality,JURKAT cell"
SPATA5,SPATA5,"Growth abnormality,K-562 cell"
SPDL1,TRA2B,"Growth abnormality,JURKAT cell"
SPDL1,WDR61,"Growth abnormality,JURKAT cell"
SPDL1,XPO1,"Growth abnormality,JURKAT cell"
SPDL1,ZWINT,"Growth abnormality,JURKAT cell"
SRSF7,TRA2B,"Growth abnormality,K-562 cell"
SRSF7,VPS4A,"Growth abnormality,K-562 cell"
SRSF7,WDR61,"Growth abnormality,K-562 cell"
SRSF7,XRN2,"Growth abnormality,K-562 cell"
SRSF7,YTHDC1,"Growth abnormality,K-562 cell"
SSB,TIMELESS,"Growth abnormality,K-562 cell"
SSB,TUBGCP3,"Growth abnormality,K-562 cell"
SSBP1,TAZ,"Growth abnormality,K-562 cell"
SSBP1,TIMM23B,"Growth abnormality,K-562 cell"
STXBP4,STXBP4,"Growth abnormality,K-562 cell"
STXBP4,TIMELESS,"Growth abnormality,K-562 cell"
SYVN1,SYVN1,"Growth abnormality,K-562 cell"
TAF2,TIPIN,"Growth abnormality,JURKAT cell"
TAF2,UBA2,"Growth abnormality,K-562 cell"
TAF2,USE1,"Growth abnormality,JURKAT cell,K-562 cell"
TAF2,WDR61,"Growth abnormality,JURKAT cell,K-562 cell"
TAF2,WDR7,"Growth abnormality,K-562 cell"
TAF2,WDR77,"Growth abnormality,JURKAT cell"
TAF2,XPO1,"Growth abnormality,JURKAT cell"
TAF2,YTHDC1,"Growth abnormality,K-562 cell"
TAF2,ZNHIT6,"Growth abnormality,JURKAT cell"
TAF2,ZNRD1,"Growth abnormality,K-562 cell"
TAF2,ZWINT,"Growth abnormality,K-562 cell"
TAZ,TIMM23B,"Growth abnormality,K-562 cell"
TAZ,USMG5,"Growth abnormality,K-562 cell"
TCOF1,TCOF1,"Growth abnormality,K-562 cell"
TCOF1,TIMELESS,"Growth abnormality,K-562 cell"
TCOF1,TUBGCP4,"Growth abnormality,K-562 cell"
TCOF1,ZNRD1,"Growth abnormality,K-562 cell"
TIMELESS,TIPIN,"Growth abnormality,K-562 cell"
TIMELESS,TRRAP,"Growth abnormality,K-562 cell"
TIMELESS,TSEN2,"Growth abnormality,K-562 cell"
TIMELESS,WDR77,"Growth abnormality,K-562 cell"
TIMM9,TIMM9,"Growth abnormality,JURKAT cell"
TIPIN,ZWINT,"Growth abnormality,K-562 cell"
TMEM261,TMEM261,"Growth abnormality,K-562 cell"
TMEM261,TOMM22,"Growth abnormality,K-562 cell"
TMEM261,UQCRB,"Growth abnormality,K-562 cell"
TMEM261,XPO1,"Growth abnormality,K-562 cell"
TOMM22,USE1,"Growth abnormality,JURKAT cell"
TRA2B,VPS4A,"Growth abnormality,K-562 cell"
TRA2B,XRN2,"Growth abnormality,JURKAT cell"
TRA2B,ZNF574,"Growth abnormality,K-562 cell"
TRMT5,TRMT5,"Growth abnormality,JURKAT cell"
TRPM7,TRPM7,"Growth abnormality,JURKAT cell,K-562 cell"
TRRAP,TRRAP,"Growth abnormality,K-562 cell"
TRRAP,VPS72,"Growth abnormality,K-562 cell"
TRRAP,WDR61,"Growth abnormality,JURKAT cell"
TTC4,TTC4,"Growth abnormality,JURKAT cell,K-562 cell"
TUBB,TUBB,"Growth abnormality,JURKAT cell,K-562 cell"
TUBB,ZNF574,"Growth abnormality,K-562 cell"
TUBB,ZNHIT6,"Growth abnormality,JURKAT cell"
TUBGCP5,UBA2,"Growth abnormality,JURKAT cell"
UBA2,WDR70,"Growth abnormality,K-562 cell"
UBA2,YTHDC1,"Growth abnormality,K-562 cell"
UBA2,ZCCHC9,"Growth abnormality,JURKAT cell,K-562 cell"
UBA2,ZNF511,"Growth abnormality,K-562 cell"
UBA2,ZNHIT6,"Growth abnormality,K-562 cell"
VPS29,WDR61,"Growth abnormality,K-562 cell"
VPS4A,ZNF574,"Growth abnormality,K-562 cell"
VPS72,WDR7,"Growth abnormality,K-562 cell"
VPS72,YTHDC1,"Growth abnormality,K-562 cell"
WARS2,WARS2,"Growth abnormality,K-562 cell"
WDR61,WDR7,"Growth abnormality,K-562 cell"
WDR61,YTHDC1,"Growth abnormality,K-562 cell"
XPO1,ZNF830,"Growth abnormality,JURKAT cell"
YTHDC1,YTHDC1,"Growth abnormality,JURKAT cell,K-562 cell"
ZCCHC9,ZNF574,"Growth abnormality,K-562 cell"
WDR61,LEO1,Growth abnormality
WDR61,ORAOV1,Growth abnormality
LEO1,WDR61,Growth abnormality
LEO1,CAMLG,Growth abnormality
LEO1,NDUFA8,Growth abnormality
LEO1,MRPL36,Growth abnormality
LEO1,MRPS5,Growth abnormality
UBA2,SKIV2L,Growth abnormality
WDR61,PELO,Growth abnormality
UBA2,MFAP1,Growth abnormality
TGFBR3,FGFR1,NB-2 cell
MBP,DDX54,HEK-293 cell
EP300,PRKCA,AGS cell
EP300,HIF1A,AGS cell
ELAVL1,HIF1A,HeLa cell
PTBP1,HIF1A,HeLa cell
PTBP1,ELAVL1,HeLa cell
ELAVL1,PTBP1,HeLa cell
HIF1A,TUBA1A,PC-3 cell
DNAI1,HIF1A,PC-3 cell
MAPK8,HSP90AA1,JURKAT cell
RUNX3,MYCN,HeLa cell
TGM2,ARNT,HEK-293 cell
EEF2,CPEB2,Neuro-2a cell
CPEB2,EEF2,Neuro-2a cell
FGFR1,IL17RD,HEK-293 cell
BRD4,KMT2A,Growth abnormality
BMI1,HDAC2,Growth abnormality
BMI1,KDM1B,Growth abnormality
ING3,BMI1,Growth abnormality
BRD4,KDM6A,Growth abnormality
BRD4,PHF2,Growth abnormality
BMI1,PRMT6,Growth abnormality
ING3,KDM5A,Growth abnormality
KDM5B,KMT2A,Growth abnormality
BRD4,KDM4C,Growth abnormality
KDM6B,KDM3A,Growth abnormality
ING3,KDM6A,Growth abnormality
PRMT5,PRMT5,Growth abnormality
BRD4,BRD4,Growth abnormality
BMI1,NSD1,Growth abnormality
BMI1,MBD2,Growth abnormality
BMI1,KDM1A,Growth abnormality
KDM3A,PRMT5,Growth abnormality
BRD4,EP300,Growth abnormality
BMI1,KDM3A,Growth abnormality
BRD4,KDM6B,Growth abnormality
PHF8,KDM1A,Growth abnormality
PRMT5,HDAC1,Growth abnormality
PHF8,PRMT5,Growth abnormality
BRD4,EZH2,Growth abnormality
PRMT5,EZH1,Growth abnormality
BRD4,KDM2B,Growth abnormality
KDM6B,PRMT5,Growth abnormality
KDM1A,PRMT5,Growth abnormality
PRMT5,EP300,Growth abnormality
BRD4,PRMT5,Growth abnormality
KDM5D,KMT2A,Growth abnormality
PHF2,PRMT5,Growth abnormality
PRMT5,DNMT1,Growth abnormality
BMI1,KDM6A,Growth abnormality
KDM4A,PRMT5,Growth abnormality
PRMT6,PRMT5,Growth abnormality
KDM2B,PRMT5,Growth abnormality
KDM6B,KMT2A,Growth abnormality
BRD4,BMI1,Growth abnormality
KDM5A,NSD1,Growth abnormality
BRD4,KDM3A,Growth abnormality
KDM6B,PRMT7,Growth abnormality
BRD3,KDM4C,Growth abnormality
KDM4C,PRMT5,Growth abnormality
PRMT5,MBD1,Growth abnormality
EP300,MBD1,Growth abnormality
ING3,BRD4,Growth abnormality
KDM1A,HDAC2,Growth abnormality
PRMT5,CARM1,Growth abnormality
BRD4,KDM4C,Growth abnormality
BRD4,KDM6B,Growth abnormality
BRD4,PHF2,Growth abnormality
MDM2,HIF1A,HCT-116 cell
GCKR,GCK,HeLa cell
HIF1A,GATA3,A-375 cell
HIF1A,GATA3,A-375 cell
UBE3A,ERC2,SH-SY5Y cell
UBE3A,NEURL4,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,ACTBL2,SH-SY5Y cell
UBE3A,EIF3C,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,HIF1AN,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,UCHL5,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,USP14,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,CEP170,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,ECH1,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,ECI2,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,IGLC7,SH-SY5Y cell
UBE3A,KRT6B,SH-SY5Y cell
UBE3A,LCN1,SH-SY5Y cell
UBE3A,MTAP,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PIP,SH-SY5Y cell
UBE3A,SUGT1,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,TANGO6,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,TUBB2B,SH-SY5Y cell
UBE3A,VASP,SH-SY5Y cell
UBE3A,PSMA2,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMB5,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMC4,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMC5,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMD1,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMD12,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMD13,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMD2,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMD4,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMD7,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMA1,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMC2,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMC3,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMD11,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMD3,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMD6,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMB2,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMB4,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMB6,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMB7,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMC1,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMC6,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMB1,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMB3,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMD8,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMA3,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMA4,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMA5,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMA6,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMA7,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMB8,SH-SY5Y cell
UBE3A,PSMD10,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMD14,"SH-SY5Y cell,T-REx 293 cell"
UBE3A,PSMD5,SH-SY5Y cell
UBE3A,HERC2,"SH-SY5Y cell,T-REx 293 cell"
PAF1,SMARCD3,Growth abnormality
MED14,MED17,Growth abnormality
RBBP4,RBBP7,Growth abnormality
EP400,MEN1,Growth abnormality
CXXC1,GEMIN5,Growth abnormality
CNOT3,KDM1A,Growth abnormality
INTS9,MTA1,Growth abnormality
BRD7,GEMIN5,Growth abnormality
EPC1,KAT5,Growth abnormality
EP400,KDM1A,Growth abnormality
INTS9,MED17,Growth abnormality
